open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,symbol,symbol_simple,contract_type
2023-01-03 06:00:00,16720.0,16774.0,16717.7,16719.8,14948.156,2023-01-03 06:59:59.999,250239726.0413,62902,7835.124,131169561.641,BTCUSDT,btc,PERPETUAL
2023-01-03 07:00:00,16719.8,16726.4,16700.6,16723.1,6435.281,2023-01-03 07:59:59.999,107564452.5726,30882,3113.97,52049777.6707,BTCUSDT,btc,PERPETUAL
2023-01-03 08:00:00,16723.1,16728.9,16691.7,16710.0,6822.343,2023-01-03 08:59:59.999,113987676.313,35140,2772.98,46330165.7302,BTCUSDT,btc,PERPETUAL
2023-01-03 09:00:00,16710.1,16750.5,16710.0,16732.9,6532.91,2023-01-03 09:59:59.999,109311376.1019,32718,3569.06,59718058.5334,BTCUSDT,btc,PERPETUAL
2023-01-03 10:00:00,16732.9,16740.9,16716.0,16718.3,4774.934,2023-01-03 10:59:59.999,79882695.9847,24705,2353.549,39374468.5348,BTCUSDT,btc,PERPETUAL
2023-01-03 11:00:00,16718.2,16729.8,16703.0,16714.2,3878.215,2023-01-03 11:59:59.999,64836587.0921,22540,1886.745,31542594.1702,BTCUSDT,btc,PERPETUAL
2023-01-03 12:00:00,16714.2,16721.2,16695.7,16703.7,6066.134,2023-01-03 12:59:59.999,101358402.0874,30552,2617.247,43734645.7833,BTCUSDT,btc,PERPETUAL
2023-01-03 13:00:00,16703.8,16732.2,16703.7,16718.1,5633.08,2023-01-03 13:59:59.999,94175339.3335,31127,2789.927,46643277.0217,BTCUSDT,btc,PERPETUAL
2023-01-03 14:00:00,16718.2,16764.9,16633.0,16653.1,33040.987,2023-01-03 14:59:59.999,551987876.2866,127486,15374.287,256948646.4829,BTCUSDT,btc,PERPETUAL
2023-01-03 15:00:00,16653.1,16674.9,16610.0,16670.8,29071.069,2023-01-03 15:59:59.999,483862203.3724,119901,14193.113,236252201.4459,BTCUSDT,btc,PERPETUAL
2023-01-03 16:00:00,16670.9,16680.1,16606.0,16617.3,14840.489,2023-01-03 16:59:59.999,246975825.5464,69448,7253.841,120722956.1995,BTCUSDT,btc,PERPETUAL
2023-01-03 17:00:00,16617.3,16637.0,16600.3,16626.0,9304.479,2023-01-03 17:59:59.999,154632825.9705,46488,4614.001,76683064.1101,BTCUSDT,btc,PERPETUAL
2023-01-03 18:00:00,16626.1,16645.8,16621.2,16637.7,5468.815,2023-01-03 18:59:59.999,90971698.4613,29859,2915.967,48506856.691,BTCUSDT,btc,PERPETUAL
